,concepts,sentence
3745,['abandon' 'field' 'tree'],oak tree in an abandoned farm field .
3746,['abandon' 'field' 'tree'],An blue van abandoned in a field near some trees
3747,['abandon' 'field' 'tree'],a barley field and abandoned homestead under trees during a summer sunrise
3748,['bridge' 'train' 'way'],bridge from the train on the way
3749,['bridge' 'train' 'way'],A train makes its way across a steel bridge.
3750,['bridge' 'train' 'way'],a passenger train makes its way over a bridge above a makeshift cinema in the old quarters .
3751,['beach' 'boat' 'tow'],towing a boat along the beach in a city
3752,['beach' 'boat' 'tow'],A boat being towed by a jeep near a beach.
3753,['beach' 'boat' 'tow'],inshore fishing boat being towed up the beach
3754,['coast' 'train' 'travel'],train traveling along the coast .
3755,['coast' 'train' 'travel'],a small child watching a train traveling along the coast
3756,['coast' 'train' 'travel'],An advertisement for a  train that travels the East coast.
3757,['bathroom' 'image' 'window'],"Image of a vanity, shower and open window in a bathroom."
3758,['bathroom' 'image' 'window'],image result for tiniest bathroom like the shelf over the window
3759,['clothe' 'shirt' 'wash'],A man is outside without his shirt on and washing his clothes.
3760,['clothe' 'shirt' 'wash'],A woman in a polka dot shirt washing colorful clothes in a wide flat pan.
3761,['drink' 'elephant' 'stop'],A herd of elephants stop for a drink.
3762,['drink' 'elephant' 'stop'],these elephants stopped at this farm for a brief drink before continuing their journey
3763,['cast' 'lake' 'rod'],A man cast his rod into the lake
3764,['cast' 'lake' 'rod'],The guy is casting his fishing rod in the middle of the lake.
3765,['angel' 'lay' 'snow'],a girl lays down in the snow and makes a snow angel
3766,['angel' 'lay' 'snow'],Two women in snowsuits laying in the snow making snow angels.
3767,['angel' 'lay' 'snow'],An Asian girl in glasses is laying in a deep pit of snow to make snow angels.
3768,['mountain' 'resort' 'ski'],Three people ski down a mountain at a ski resort.
3769,['mountain' 'resort' 'ski'],People are skiing down the mountain towards the resort. 
3770,['mother' 'sleep' 'watch'],A mother watches her baby sleeping.
3771,['mother' 'sleep' 'watch'],A baby is trying to go to sleep wjile the mother watches.
3772,['mother' 'sleep' 'watch'],A boy is sleeping on his mother who is eagerly watching her mobile.
3773,['burger' 'fry' 'ketchup'],chicken burger with fries and ketchup on a white dish
3774,['burger' 'fry' 'ketchup'],slow motion of delicious french fries falling over a burger next to cola and ketchup .
3775,['lake' 'rock' 'toss'],A woman tosses rocks across the lake.
3776,['lake' 'rock' 'toss'],A little girl tosses a rock into the lake and exclaims loudly over it.
3777,['foot' 'football' 'player'],soccer players with his foot on a football
3778,['foot' 'football' 'player'],A rugby football flies from the foot of a player in a white uniform.
3779,['carpet' 'crawl' 'room'],portrait of a crawling baby on the carpet in my room
3780,['carpet' 'crawl' 'room'],A young baby crawls on the carpet into a room while he is cheered by an adult.
3781,['home' 'replace' 'roof'],Maintenance man is replacing a roof in a home.
3782,['home' 'replace' 'roof'],The man is replacing the roof on an old historic home.
3783,['home' 'replace' 'roof'],crew replacing roof on a middle class home seen from above
3784,['exit' 'passenger' 'plane'],passengers wait to exit a plane
3785,['exit' 'passenger' 'plane'],an image of passengers exiting a plane 
3786,['basin' 'bathroom' 'towel'],A tile hotel bathroom contains a basin and folded towels.
3787,['basin' 'bathroom' 'towel'],towels on the toilet seat beside the basin in a small cluttered eighties bathroom
3788,['basin' 'bathroom' 'towel'],mosaic tiling above basin in economy style bathroom with a basket of rolled towels
3789,['coin' 'fountain' 'toss'],A man tosses a coin in the fountain.
3790,['coin' 'fountain' 'toss'],There are two blond women tossing coins into a fountain.
3791,['bee' 'cover' 'honey'],bees convert nectar into honey and cover it in a comb
3792,['bee' 'cover' 'honey'],a beekeeper with blue gloves holding up a super or frame full of honey covered in bees
3793,['gallop' 'horse' 'pasture'],horses galloping in a summer pasture
3794,['gallop' 'horse' 'pasture'],A brown horse galloping down the green pasture.
3795,['bowl' 'fruit' 'oatmeal'],a bowl of oatmeal with fruit .
3796,['bowl' 'fruit' 'oatmeal'],Some oatmeal and fruit are in a bowl.
3797,['cat' 'day' 'rest'],a ginger cat resting on a hot afternoon day
3798,['cat' 'day' 'rest'],white cat resting in the shade during a sunny day
3799,['fighter' 'fly' 'formation'],a massed formation of fighters flying overhead .
3800,['fighter' 'fly' 'formation'],Yellow World War II fighters flying in formation.
3801,['fighter' 'fly' 'formation'],1 military jet fighter flying in formation alongside a 1 military propeller pilot. 
3802,['skate' 'skateboarder' 'wall'],A skateboarder is skating on a wall.
3803,['skate' 'skateboarder' 'wall'],A skateboarder skates on a white wall near the street.
3804,['skate' 'skateboarder' 'wall'],Bearded skateboarder maintains balance while skating up wall.
3805,['pizza' 'put' 'top'],a man putting some good on top of a pizza
3806,['pizza' 'put' 'top'],A little boy is putting cheese on top of a pizza that he is making.
3807,['laptop' 'surf' 'web'],a man surfing the web through his laptop
3808,['laptop' 'surf' 'web'],kids playing and surfing the web on digital tablet and laptop
3809,['jacket' 'snowboard' 'snowboarder'],a snowboarder with a red jacket on a snowboard
3810,['jacket' 'snowboard' 'snowboarder'],a male snowboarder in a white jacket and his snowboard
3811,['jacket' 'snowboard' 'snowboarder'],a snowboarder in an orange jacket is airborne on a snowboard.
3812,['grill' 'potato' 'vegetable'],"A plate with grilled carrots, vegetables, and potatoes."
3813,['grill' 'potato' 'vegetable'],grilled steak on bone veal rib with baked potatoes and vegetables on a wooden cutting board
3814,['hang' 'museum' 'wall'],art museum with paintings hanging on the walls .
3815,['hang' 'museum' 'wall'],The paintings are hung on a wall inside a museum.
3816,['burger' 'hold' 'plate'],A white plate holding a salad and burger.
3817,['burger' 'hold' 'plate'],The woman is holding a plate with a burger on it.
3818,['kid' 'teach' 'way'],here are some fun ways to teach kids about space
3819,['kid' 'teach' 'way'],an unique way to how to teach your kids the true meaning .
3820,['kid' 'teach' 'way'],Dad is teaching the kids on the proper way to shampoo their hair.
3821,['field' 'soccer' 'tree'],Children play soccer on a soccer field nestled against trees
3822,['field' 'soccer' 'tree'],Four people are playing soccer in a desolate field with a tree nearby.
3823,['field' 'soccer' 'tree'],a group of small children playing soccer in an open field next to the trees
3824,['number' 'station' 'train'],a number of trains at a station with people near by
3825,['number' 'station' 'train'],"A gray train with a red stripe, and number 3 is stopped at the station."
3826,['airplane' 'plane' 'wing'],The wing of an airplane with another plane beside it.
3827,['airplane' 'plane' 'wing'],The large airplane has very large wings near many other planes.
3828,['motorcycle' 'park' 'sidecar'],motorcycle with a sidecar parked in an alleyway
3829,['motorcycle' 'park' 'sidecar'],The motorcycle with the sidecar is parked near other motorcycles.
3830,['artwork' 'room' 'wall'],artwork on the walls of the room
3831,['artwork' 'room' 'wall'],A room with artworks on the wall and chairs.
3832,['friend' 'secret' 'whisper'],A child whispers a secret to a friend.
3833,['friend' 'secret' 'whisper'],friend is whispering a secret to the other
3834,['friend' 'secret' 'whisper'],woman whispering a secret into her friends ear in cafe
3835,['feed' 'hay' 'sheep'],Baby sheep feed hungrily from a trough in the hay
3836,['feed' 'hay' 'sheep'],sheep feeding on a large mound of hay in a farmyard
3837,['load' 'wait' 'worker'],Workers are waiting to load products.
3838,['load' 'wait' 'worker'],An airplane worker loads up a waiting Southwest jet.
3839,['load' 'wait' 'worker'],"A few workers, waiting to load the goods from the pallet to the boat."
3840,['branch' 'parrot' 'watch'],This is a parrot gnawing on a branch while another parrot watches.
3841,['branch' 'parrot' 'watch'],A very colorful parrot perched on a wooden branch watching people.
3842,['family' 'friend' 'picnic'],picnic with family and friends at the lakeside
3843,['family' 'friend' 'picnic'],treat family and friends to a picnic with a gourmet
3844,['family' 'friend' 'picnic'],A family or a group of friends are having a picnic in what appears to be a park.
3845,['antique' 'decorate' 'room'],A room with three large windows decorated with antiques 
3846,['antique' 'decorate' 'room'],antiques and furnishings inside a richly decorated living room and parlor
3847,['plate' 'shrimp' 'table'],grilled shrimp on a plate at the table
3848,['plate' 'shrimp' 'table'],this is a plate of shrimp and broccoli on a table
3849,['dish' 'plate' 'type'],a plate of type of dish
3850,['dish' 'plate' 'type'],A plate with samples of different types of dishes.
3851,['goat' 'graze' 'mountain'],mountain goats grazing high in the mountains
3852,['goat' 'graze' 'mountain'],A group of goats are grazing on a mountain.  
3853,['goat' 'graze' 'mountain'],sheep and goats graze in a meadow at the base of the mountain .
3854,['coffee' 'fill' 'mug'],The mug is filled with coffee.
3855,['coffee' 'fill' 'mug'],A woman is filling a mug with coffee.
3856,['coffee' 'fill' 'mug'],white mug filled with fresh coffee on a table
3857,['flower' 'fountain' 'park'],fountain in the park with flowers
3858,['flower' 'fountain' 'park'],A park surrounded by flowers with a fountain.
3859,['boat' 'harbor' 'tide'],boat at low tide in the harbor
3860,['boat' 'harbor' 'tide'],A harbor with boats washed up in the low tide
3861,['sale' 'street' 'vendor'],Vendors make sales on the street
3862,['sale' 'street' 'vendor'],fresh crabs for sale by a vendor in a street
3863,['sale' 'street' 'vendor'],street vendor offers books for sale on the streets
3864,['day' 'home' 'move'],time lapse of clouds moving over a home during the day
3865,['day' 'home' 'move'],Many people are moving into the new home on a summer day.
3866,['guitar' 'record' 'studio'],A man is recording himself playing a small guitar in a studio.
3867,['guitar' 'record' 'studio'],guitars are available for guests to use and record with in recording studio
3868,['family' 'garden' 'work'],family working in the garden
3869,['family' 'garden' 'work'],An black family is working on their garden while their mother looks on.
3870,['bathe' 'elephant' 'lake'],elephants bathing in a lake .
3871,['bathe' 'elephant' 'lake'],children bathe as an elephant walks by in a lake .
3872,['cat' 'sleep' 'windowsill'],cats sleeping on a windowsill
3873,['cat' 'sleep' 'windowsill'],cute cat sleeping on the windowsill in a rainy day
3874,['field' 'herd' 'move'],herd of cattle moving along in a field
3875,['field' 'herd' 'move'],A herd of giraffe are moving through an open field.
3876,['arch' 'building' 'column'],arch and columns of an ancient building
3877,['arch' 'building' 'column'],supporting columns and arches on a building
3878,['dress' 'give' 'performance'],A nattily dressed singer giving a performance.
3879,['dress' 'give' 'performance'],Female choir all dressed in black giving a performance.
3880,['airplane' 'evening' 'fly'],An airplane is flying into an airport in the evening.
3881,['airplane' 'evening' 'fly'],small airplane is flying over the city during a cloudy evening .
3882,['calf' 'mother' 'stand'],a calf stands beside her mother .
3883,['calf' 'mother' 'stand'],a calf stands with its mother in its enclosure .
3884,['calf' 'mother' 'stand'],a mother giraffe and her calf standing in a plain
3885,['pizza' 'spread' 'topping'],A man is spreading toppings on to the top of a finished pizza.
3886,['pizza' 'spread' 'topping'],Italian music plays while a chef spreads sauce and toppings on a pizza.
3887,['bedding' 'bedroom' 'curtain'],A bedroom with blue curtains and colorful bedding.
3888,['bedding' 'bedroom' 'curtain'],nautical bedroom with tartan patterns on the bedding and curtains .
3889,['bedding' 'bedroom' 'curtain'],this navy blue bedroom has blue bedding and curtains to go along with the wall color
3890,['grove' 'orange' 'tree'],oranges on a tree in an orange grove
3891,['grove' 'orange' 'tree'],A grove of orange trees filled with oranges.
3892,['gather' 'library' 'table'],People are gathered near a table in a library.
3893,['gather' 'library' 'table'],students gather around tables to study in the library
3894,['family' 'sleep' 'tent'],a family sleeps in a tent
3895,['family' 'sleep' 'tent'],low section of family sleeping in the tent
3896,['family' 'sleep' 'tent'],the family slept in a tent along the way while she traveled .
3897,['church' 'front' 'sky'],An old classic church is in front a big blue sky.
3898,['church' 'front' 'sky'],people cycling in front of a white traditional catholic church under cloudy sky
3899,['aircraft' 'runway' 'wait'],aircraft of squadron waiting to join the runway
3900,['aircraft' 'runway' 'wait'],an aircraft waiting to take off from an airport runway
3901,['job' 'site' 'work'],A man is working at a construction site as a second job.
3902,['job' 'site' 'work'],Several people work various jobs at a dig site they are excavating.
3903,['church' 'crucifix' 'wall'],crucifix in church on the stone wall
3904,['church' 'crucifix' 'wall'],a large crucifix hangs on the inside wall of a beautiful church
3905,['church' 'crucifix' 'wall'],A church with lots of wooden pews and an illuminated crucifix on the wall.
3906,['day' 'dog' 'dress'],a dog dressed up for day
3907,['day' 'dog' 'dress'],a dog dressed in the colours to celebrate independence day .
3908,['day' 'dog' 'dress'],Two dogs dressed up for St Patrick's day in green hats and bow ties.
3909,['site' 'weld' 'worker'],A construction worker welds on-site.
3910,['site' 'weld' 'worker'],industrial worker welding high at the construction site in slow motion in daytime .
3911,['butter' 'melt' 'pan'],melting butter into the hot pan .
3912,['butter' 'melt' 'pan'],melting butter with sugar in a pan
3913,['day' 'stare' 'window'],woman staring out a window on a rainy day
3914,['day' 'stare' 'window'],double exposure of young boy stares out of window on a rainy day
3915,['face' 'lie' 'pillow'],A woman's face and head lying on a pillow
3916,['face' 'lie' 'pillow'],"Someone lies awake, his face buried in his pillow."
3917,['face' 'lie' 'pillow'],"Later he lies awake on his stomach, with one - half of his face against a pillow."
3918,['dancer' 'performance' 'rehearse'],dancers rehearse for a performance
3919,['dancer' 'performance' 'rehearse'],dancers rehearse their performances for the matches
3920,['dancer' 'performance' 'rehearse'],The blond female and her dancers are rehearsing for a live performance.
3921,['airplane' 'airport' 'flight'],An airplane getting ready for flight at an airport.
3922,['airplane' 'airport' 'flight'],An airplane is taking off for flight to a new airport. 
3923,['airplane' 'airport' 'flight'],refueling the airplane in airport and preparing for flight
3924,['city' 'pull' 'station'],A train pulls up to a station in a city.
3925,['city' 'pull' 'station'],pulling into train station in the beautiful city
3926,['pub' 'sport' 'watch'],men watching sports at the pub
3927,['pub' 'sport' 'watch'],good old friends watching sports in a pub
3928,['angel' 'lie' 'snow'],a man lies in the snow with wings like an angel
3929,['angel' 'lie' 'snow'],Two children lying in the snow making snow angels
3930,['angel' 'lie' 'snow'],playful little girl lying in the powder snow and makes an angel
3931,['move' 'railroad' 'train'],commuter train is moving along the railroad .
3932,['move' 'railroad' 'train'],A huge train is on a railroad and won't be moving soon. 
3933,['move' 'railroad' 'train'],an image of a train moving down the track and going down the railroad
3934,['building' 'crane' 'top'],a crane on top of a building and a train
3935,['building' 'crane' 'top'],a crane hoists a steel beam to the top of the building
3936,['court' 'hat' 'tennis'],Two women in hats playing tennis on a court.
3937,['court' 'hat' 'tennis'],Woman in dress and white hat playing tennis on grass court.
3938,['grill' 'hold' 'plate'],woman holding plate of grilled vegetables in a restaurant
3939,['grill' 'hold' 'plate'],a woman is holding a plate of shrimp that are on skewers and ready for grilling
3940,['bridge' 'swan' 'swim'],a flock of swans swimming under a bridge
3941,['bridge' 'swan' 'swim'],arch bridge and several young white swans swimming together in a sunny day in slow motion .
3942,['jam' 'plate' 'toast'],a plate of toast and jam
3943,['jam' 'plate' 'toast'],A piece of toast with jam on it on a plate.
3944,['bark' 'dog' 'window'],Two dogs are barking at the window.
3945,['bark' 'dog' 'window'],A dog is barking out of the window.
3946,['collection' 'grow' 'tree'],A collection of bananas grows on a tree. 
3947,['collection' 'grow' 'tree'],a dense collection of undergrowth growing beneath aspen trees
3948,['collection' 'grow' 'tree'],typical collection of cacti and fir trees growing in the volcanic soil on the west coast
3949,['bib' 'cat' 'wear'],A black cat with crazy eyes wearing a bib.
3950,['bib' 'cat' 'wear'],scout the gray tabby cat at his birthday party wearing a bib
3951,['container' 'microwave' 'oven'],A container of food in a microwave oven.
3952,['container' 'microwave' 'oven'],Large microwave oven outside on a patio next to a green trash container.
3953,['airplane' 'fly' 'pilot'],The pilot is flying an airplane.
3954,['airplane' 'fly' 'pilot'],A pilot is about to go fly an airplane.
3955,['airplane' 'fly' 'pilot'],pilot flying in the cockpit of a small airplane
3956,['boat' 'front' 'pier'],boats at low tide in front of the pier
3957,['boat' 'front' 'pier'],A pelican in front of a pier with many boats. 
3958,['front' 'pitch' 'tent'],tents pitched in front during festival
3959,['front' 'pitch' 'tent'],a light tent pitched in front of a ruin
3960,['airport' 'family' 'take'],family took him to the airport to say
3961,['airport' 'family' 'take'],easter a few hours before taking the family to the airport .
3962,['karaoke' 'party' 'singe'],A man singing karaoke at a party.
3963,['karaoke' 'party' 'singe'],square portrait of young girls singing karaoke at a birthday party
3964,['legging' 'pair' 'wear'],A boy is wearing a pair of leggings.
3965,['legging' 'pair' 'wear'],the smartest pair of leggings your kid will ever wear .
3966,['countryside' 'speed' 'train'],train in livery speeding through the countryside
3967,['countryside' 'speed' 'train'],A passenger train speeding down a track in the countryside. 
3968,['edge' 'field' 'wood'],Two sheep graze in a grassy field at the edge of woods.
3969,['edge' 'field' 'wood'],slow aerial approach to an old abandoned shack on the edge of a field and woods
3970,['bath' 'room' 'toilet'],A white toilet and bath in a room.
3971,['bath' 'room' 'toilet'],common toilet and bath for the room
3972,['bath' 'room' 'toilet'],toilet and bath in the smaller double rooms
3973,['bakery' 'dough' 'knead'],profession kneading dough in a bakery
3974,['bakery' 'dough' 'knead'],A baker teaches a young boy how to knead dough in bakery.
3975,['build' 'frame' 'structure'],There are children building a frame for a structure.
3976,['build' 'frame' 'structure'],People building the frame to a structure in fast forward to music.
3977,['desk' 'head' 'sleep'],A man sleeps with his head on a desk.
3978,['desk' 'head' 'sleep'],The man is sleeping with his head down at the desk.
3979,['bowl' 'decorate' 'flower'],flowers decorated in a bowl
3980,['bowl' 'decorate' 'flower'],a bowl of vegetables decorated with small purple flowers
3981,['direction' 'find' 'look'],A tourist looking at a map to find directions.
3982,['direction' 'find' 'look'],Both are looking at the sun to find out the direction.
3983,['direction' 'find' 'look'],He looks like he is trying to find the right direction.
3984,['cat' 'machine' 'top'],A large cat lies on top of a washing machine.
3985,['cat' 'machine' 'top'],A man is prodding a cat that is sleeping on top of an ATM machine.
3986,['star' 'top' 'tower'],red star on the top of tower
3987,['star' 'top' 'tower'],clock tower with star at the top
3988,['star' 'top' 'tower'],A fancy clock tower has a star on top.
3989,['boil' 'campfire' 'kettle'],kettle boiling on a campfire
3990,['boil' 'campfire' 'kettle'],A man puts a kettle over a campfire and it boils.
3991,['boil' 'campfire' 'kettle'],A kettle of coffee is placed over a campfire to boil.
3992,['bear' 'lie' 'smile'],A baby smiling and lying next to a teddy bear.
3993,['bear' 'lie' 'smile'],A woman smiles and stares into the camera while lying on a teddy bear.
3994,['dog' 'howl' 'moon'],dogs howling at the moon
3995,['dog' 'howl' 'moon'],lonely dogs howling at a crescent moon with a face
3996,['bear' 'sleep' 'snow'],polar bear sleeping in the snow
3997,['bear' 'sleep' 'snow'],a polar bear sleeps on a bed of snow
3998,['family' 'gather' 'picnic'],a family gathered around for a picnic
3999,['family' 'gather' 'picnic'],families gather with a family of overseas workers for a picnic
4000,['middle' 'statue' 'town'],A town square with a statue in the middle.
4001,['middle' 'statue' 'town'],The statue is in the middle of town for everyone to visit. 
4002,['town' 'train' 'way'],a train makes its way through town .
4003,['town' 'train' 'way'],A train is making its way through the town on the tracks.
4004,['delay' 'flight' 'passenger'],passengers were delayed on the flight
4005,['delay' 'flight' 'passenger'],Passengers are waiting since their flight has been delayed.
4006,['delay' 'flight' 'passenger'],the flight had already delayed take off when the pilot told off the passengers
4007,['building' 'distance' 'road'],road and graves with modern buildings in the distance
4008,['building' 'distance' 'road'],There are old buildings in the distance along a brick road.
4009,['flock' 'sheep' 'slope'],A flock of sheep occupy a rocky slope.  
4010,['flock' 'sheep' 'slope'],a flock of sheep and goats is moving on a mountain slope
4011,['friend' 'letter' 'write'],writing letter to a friend
4012,['friend' 'letter' 'write'],The women are writing letters to their friends.
4013,['drive' 'soldier' 'tank'],The soldier is driving a large tank.
4014,['drive' 'soldier' 'tank'],soldiers of politician drive a tank that has
4015,['mountain' 'run' 'skier'],Skiers on a ski run in the mountains 
4016,['mountain' 'run' 'skier'],A slalom skier crashes many gates coming down the mountain on their run
4017,['eat' 'fish' 'lake'],A white swan eating a large fish in a lake.
4018,['eat' 'fish' 'lake'],biological species eating fish on frozen lake
4019,['eat' 'fish' 'lake'],biological species eating a fish in the reeds at the edge of a lake
4020,['bridge' 'cross' 'waterway'],Commuter train crossing waterway on bridge in city.
4021,['bridge' 'cross' 'waterway'],One woman is crossing a bridge over a narrow waterway.
4022,['bridge' 'cross' 'waterway'],Boat that just crossed under a bridge on the waterway of a city.
4023,['perform' 'player' 'tackle'],A football player performing a tackle.
4024,['perform' 'player' 'tackle'],A football player shows how to perform an angle tackle .
4025,['grill' 'platter' 'vegetable'],a big platter of grilled vegetables
4026,['grill' 'platter' 'vegetable'],A gorgeous steak is shown on a platter flanked by grilled vegetables and couscous.
4027,['cattle' 'field' 'sheep'],sheep and cattle seen grazing in a field
4028,['cattle' 'field' 'sheep'],A field has a herd of sheep and cattle freely roaming around.
4029,['couple' 'snow' 'way'],religious couple plying their way through the snow
4030,['couple' 'snow' 'way'],a couple of people on snow boards make their way through the snow
4031,['cat' 'rickshaw' 'sleep'],sleeping cat on the pillows and auto rickshaw .
4032,['cat' 'rickshaw' 'sleep'],Several people walk by a rickshaw containing a sleeping cat.
4033,['cat' 'rickshaw' 'sleep'],Five people in walking in an alley near a rickshaw with a cat sleeping on it.
4034,['boat' 'family' 'relax'],a family relaxing in boat .
4035,['boat' 'family' 'relax'],A family is relaxing on their bright yellow boat.
4036,['boat' 'family' 'relax'],leader of politician and his family relaxing on a rowing boat
4037,['cat' 'mouse' 'stare'],cat staring at a mouse
4038,['cat' 'mouse' 'stare'],cat staring at a mouse coming out of her hole
4039,['meadow' 'sheep' 'walk'],a sheep is walking in a meadow
4040,['meadow' 'sheep' 'walk'],herd of sheep walking on a green meadow
4041,['desk' 'help' 'teacher'],Teacher helping a student at her desk.
4042,['desk' 'help' 'teacher'],teacher helping grade students working at their desks in the classroom
4043,['cloud' 'kick' 'snow'],a snowboarder kicks up a cloud of snow
4044,['cloud' 'kick' 'snow'],because kicking up a huge cloud of snow and getting lost totally rules .
4045,['cat' 'rescue' 'tree'],cat rescues a man up a tree
4046,['cat' 'rescue' 'tree'],Firefighters are rescuing a cat from the tree.
4047,['boat' 'building' 'reflection'],A large boat is in the reflection of the building.
4048,['boat' 'building' 'reflection'],building reflections and old wooden boat under a bridge
4049,['boat' 'building' 'reflection'],the colourful old buildings and the reflections of boats moored on the canal
4050,['perform' 'player' 'street'],guitar player performing in the streets
4051,['perform' 'player' 'street'],Scottish bagpipe players are performing on the streets.
4052,['evening' 'runway' 'take'],"A plane taking off on a runway, during the evening."
4053,['evening' 'runway' 'take'],a passenger aircraft is taking off runway of international airport into the evening
4054,['eat' 'giraffes' 'pair'],image of a pair of cute giraffes eating leaves
4055,['eat' 'giraffes' 'pair'],Pair of giraffes eating from Highbranches in zoo
4056,['complete' 'jump' 'snowboarder'],A snowboarder completes a jump.
4057,['complete' 'jump' 'snowboarder'],A snowboarder in midair after completing a jump
4058,['pool' 'skate' 'skateboarder'],a skateboarder getting ready to skate in a pool
4059,['pool' 'skate' 'skateboarder'],The skateboarder is skating in an empty swimming pool.
4060,['relax' 'towel' 'wrap'],A man is relaxing in a sauna wrapped in a towel.
4061,['relax' 'towel' 'wrap'],a woman relaxes with a towel wrapped around her on green screen .
4062,['countryside' 'pull' 'train'],steam train pulling through the countryside
4063,['countryside' 'pull' 'train'],engine pulling a train through the countryside outside neighborhood on politician
4064,['countryside' 'train' 'way'],A train is making its way across the countryside. 
4065,['countryside' 'train' 'way'],A high speed rail train makes its way through the countryside.
4066,['coffee' 'friend' 'share'],Some friends share a coffee.
4067,['coffee' 'friend' 'share'],a cup of coffee shared with a friend
4068,['highway' 'rider' 'travel'],motorcycle rider traveling down a lonely highway
4069,['highway' 'rider' 'travel'],The motorcycle riders travel on the mountain highway.
4070,['book' 'image' 'shelf'],image of books on a shelf
4071,['book' 'image' 'shelf'],There is an image of books and toys on the shelf
4072,['sheep' 'street' 'way'],Several sheep make their way down a rural street.
4073,['sheep' 'street' 'way'],the sheep make their way down the main street in red socks .
4074,['sheep' 'street' 'way'],A bunch of sheep make their way through the crowded city street.
4075,['concert' 'music' 'musician'],musicians playing music for a concert.
4076,['concert' 'music' 'musician'],The musician is playing folk music at a concert.
4077,['concert' 'music' 'musician'],young musician and punk at a concert of underground music
4078,['bank' 'fish' 'lake'],A boy fishes on the banks of a lake.
4079,['bank' 'fish' 'lake'],a man is fishing at bank of lake on a sunny cloudy day in mountain
4080,['front' 'prayer' 'statue'],An Asian man with his head bowed in prayer in front of a golden statue.
4081,['front' 'prayer' 'statue'],people who visited a temple during holiday say their prayers in front of a statue
4082,['come' 'floor' 'window'],all the bedrooms come with beautiful wooden floors and windows .
4083,['come' 'floor' 'window'],A dark den with a window with light coming in onto the wood floor.
4084,['car' 'ticket' 'windshield'],parking ticket on a windshield of a car
4085,['car' 'ticket' 'windshield'],"The car has a ticket on the windshield, and the meter is expired."
4086,['bathroom' 'decorate' 'look'],A clean looking bathroom is well lit and decorated
4087,['bathroom' 'decorate' 'look'],decorating ideas to make a small bathroom look bigger decorating ideas for small bathrooms in apartments
4088,['beekeeper' 'hold' 'honeycomb'],beekeeper holding a frame of honeycomb
4089,['beekeeper' 'hold' 'honeycomb'],A beekeeper holds up a panel of honeycomb for inspection.
4090,['conductor' 'musician' 'orchestra'],the conductor of an orchestra directing the musicians .
4091,['conductor' 'musician' 'orchestra'],A group of young musicians play in an orchestra with a conductor.
4092,['alcohol' 'pour' 'shot'],A woman pours a shot of alcohol.
4093,['alcohol' 'pour' 'shot'],A man is pouring shots of alcohol into a blender.
4094,['lift' 'plane' 'runway'],The plane lifts off the runway.
4095,['lift' 'plane' 'runway'],A plane is just lifting off the runway.
4096,['blanket' 'lie' 'toy'],A cat lying on a blanket with a stuffed toy.
4097,['blanket' 'lie' 'toy'],baby boy lying on the blanket with many toys
4098,['box' 'car' 'carry'],The man is carrying the box to his car.
4099,['box' 'car' 'carry'],retro car carries gift boxes through the old town in the snowy weather
4100,['light' 'rainstorm' 'reflect'],a rare rainstorm reflects neon lights along tourist attraction
4101,['light' 'rainstorm' 'reflect'],Lights are reflecting off a city street in the evening during a rainstorm.
4102,['category' 'list' 'site'],site listing category lit up
4103,['category' 'list' 'site'],site listing category as seen
4104,['category' 'list' 'site'],site listing category in front
4105,['bathroom' 'toilet' 'tub'],a toilet and a tub in a bathroom
4106,['bathroom' 'toilet' 'tub'],A bathroom with two toilets and two tubs.
4107,['bathroom' 'toilet' 'tub'],The bathroom has a pink tub and pink toilet.
4108,['deliver' 'politician' 'speech'],politician delivers a speech today
4109,['deliver' 'politician' 'speech'],politician delivers her maiden speech
4110,['deliver' 'politician' 'speech'],politician delivers the opening speech
4111,['desk' 'keyboard' 'monitor'],A monitor and a keyboard on a desk.
4112,['desk' 'keyboard' 'monitor'],a desk with two keyboards and two monitors
4113,['desk' 'keyboard' 'monitor'],"There is a monitor, keyboard, mouse and laptop on the desk. "
4114,['bathroom' 'bathtub' 'toilet'],A toilet in bathtub in a home bathroom
4115,['bathroom' 'bathtub' 'toilet'],An empty bathroom with a toilet and bathtub.
4116,['bathroom' 'bathtub' 'toilet'],The bathtub and toilet of a bathroom is shown.
4117,['grass' 'graze' 'zebra'],a zebra is grazing on some grass 
4118,['grass' 'graze' 'zebra'],a zebra by itself grazing in the grass
4119,['grass' 'graze' 'zebra'],A zebra grazes on grass in its habitat.
4120,['building' 'clock' 'tower'],a clock on a tower next to a building
4121,['building' 'clock' 'tower'],A clock in the tower of a city building.
4122,['building' 'clock' 'tower'],An old building with clocks at the tower.
4123,['bathroom' 'floor' 'toilet'],A bathroom with a toilet and a floor.
4124,['bathroom' 'floor' 'toilet'],A toilet is in the floor in a bathroom
4125,['bathroom' 'floor' 'toilet'],A toilet inside of the bathroom with tile floor.
4126,['country' 'match' 'player'],players cheer wining the match vs country
4127,['country' 'match' 'player'],football player against country during a match
4128,['country' 'match' 'player'],the players react after final match against country
4129,['cheese' 'pizza' 'tomato'],A pizza with cheese and tomatoes on it.
4130,['cheese' 'pizza' 'tomato'],"This pizza has cheese, broccoli, and  tomato."
4131,['cheese' 'pizza' 'tomato'],A full pizza that has cheese and tomatoes as toppings.
4132,['clock' 'top' 'tower'],a black clock on top of a tower
4133,['clock' 'top' 'tower'],Two clocks on a tower at the top
